Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1588636800,5/5/2020,BTCKRW,10845000,11019000,10730000,10980000,5604.48,60962026976
1588550400,5/4/2020,BTCKRW,10888000,10949000,10450000,10845000,6912.68,73949480549
1588464000,5/3/2020,BTCKRW,10881000,11128000,10712000,10888000,5810.67,63511257672
1588377600,5/2/2020,BTCKRW,10764000,10927000,10654000,10881000,3845.9,41534399813
1588291200,5/1/2020,BTCKRW,10470000,11042000,10452000,10764000,7541.12,80911638781
1588204800,4/30/2020,BTCKRW,10540000,11430000,10271000,10470000,17038.88,1.84107E+11
1588118400,4/29/2020,BTCKRW,9413000,10700000,9378000,10540000,11052.67,1.11169E+11
1588032000,4/28/2020,BTCKRW,9485000,9485000,9343000,9413000,3495.45,32812423364
1587945600,4/27/2020,BTCKRW,9360000,9486000,9307000,9485000,5456,51294838465
1587859200,4/26/2020,BTCKRW,9164000,9361000,9150000,9360000,3087.48,28556111478
1587772800,4/25/2020,BTCKRW,9101000,9254000,9053000,9164000,2520.04,23076889511
1587686400,4/24/2020,BTCKRW,9050000,9230000,8992000,9101000,5091.8,46467897570
1587600000,4/23/2020,BTCKRW,8642000,9168000,8564000,9050000,7313.24,64950190502
1587513600,4/22/2020,BTCKRW,8407000,8670000,8390000,8642000,4069.72,34677270604
1587427200,4/21/2020,BTCKRW,8385000,8497000,8310000,8407000,4331.41,36410387504
1587340800,4/20/2020,BTCKRW,8660000,8727000,8350000,8385000,5943.48,50882494616
1587254400,4/19/2020,BTCKRW,8714000,8736000,8563000,8660000,2885.33,24958963885
1587168000,4/18/2020,BTCKRW,8527000,8755000,8512000,8714000,3278.93,28370448506
1587081600,4/17/2020,BTCKRW,8560000,8605000,8480000,8527000,3920.66,33514014165
1586995200,4/16/2020,BTCKRW,8111000,8610000,7925000,8560000,7941.41,66354563990
1586908800,4/15/2020,BTCKRW,8378000,8418000,8093000,8111000,3729.49,30885546212
1586822400,4/14/2020,BTCKRW,8388000,8458000,8270000,8378000,3415.11,28613944230
1586736000,4/13/2020,BTCKRW,8468000,8470000,8168000,8388000,6028.41,50027855897
1586649600,4/12/2020,BTCKRW,8465000,8750000,8343000,8468000,3854.81,32878106418
1586563200,4/11/2020,BTCKRW,8414000,8537000,8318000,8465000,3467.12,29196417931
1586476800,4/10/2020,BTCKRW,8811000,8825000,8238000,8414000,7170.5,60800564623
1586390400,4/9/2020,BTCKRW,8828000,8852000,8641000,8811000,4790.18,42128706667
1586304000,4/8/2020,BTCKRW,8647000,8909000,8624000,8828000,6013.78,52904010434
1586217600,4/7/2020,BTCKRW,8797000,8966000,8540000,8647000,8584.13,75264788300
1586131200,4/6/2020,BTCKRW,8184000,8800000,8184000,8797000,8914.76,75639844660
1586044800,4/5/2020,BTCKRW,8249000,8275000,8106000,8184000,2536.95,20803042222
1585958400,4/4/2020,BTCKRW,8154000,8327000,8101000,8249000,4396.19,36019295265
1585872000,4/3/2020,BTCKRW,8175000,8426000,8050000,8154000,6656.11,54821976530
1585785600,4/2/2020,BTCKRW,8067000,8499000,7984000,8175000,11269.01,92073544432
1585699200,4/1/2020,BTCKRW,7795000,8088000,7534000,8067000,6856.1,53152146530
1585612800,3/31/2020,BTCKRW,7794000,7976000,7739000,7795000,5475.87,42953536111
1585526400,3/30/2020,BTCKRW,7219000,8019000,7200000,7794000,9387.81,71866841730
1585440000,3/29/2020,BTCKRW,7652000,7684000,7219000,7219000,4021.48,29995838338
1585353600,3/28/2020,BTCKRW,7885000,7887000,7400000,7652000,7678,58658145111
1585267200,3/27/2020,BTCKRW,8274000,8356000,7820000,7885000,5613.43,45927302807
1585180800,3/26/2020,BTCKRW,8272000,8338000,8085000,8274000,5596.02,45917078103
1585094400,3/25/2020,BTCKRW,8360000,8510000,8071000,8272000,10301.12,85014858022
1585008000,3/24/2020,BTCKRW,8049000,8400000,7901000,8360000,13201.47,1.08255E+11
1584921600,3/23/2020,BTCKRW,7378000,8152000,7234000,8049000,13549.56,1.04408E+11
1584835200,3/22/2020,BTCKRW,7744000,7980000,7324000,7378000,8050.11,61803370599
1584748800,3/21/2020,BTCKRW,7785000,8087000,7420000,7744000,10309.55,80014597484
1584662400,3/20/2020,BTCKRW,7673000,8630000,7353000,7785000,20717.39,1.65698E+11
1584576000,3/19/2020,BTCKRW,6738000,8118000,6612000,7673000,19444.26,1.40881E+11
1584489600,3/18/2020,BTCKRW,6770000,6891000,6363000,6738000,12566.94,83206584447
1584403200,3/17/2020,BTCKRW,6377000,6890000,6262000,6770000,14835.87,98781430592
1584316800,3/16/2020,BTCKRW,6902000,6910000,6000000,6377000,20226.11,1.30195E+11
1584230400,3/15/2020,BTCKRW,6818000,7298000,6660000,6902000,9363.83,64491893170
1584144000,3/14/2020,BTCKRW,7267000,7288000,6601000,6818000,11535.58,80186245081
1584057600,3/13/2020,BTCKRW,6360000,7500000,5494000,7267000,28102.7,1.90618E+11
